line_idx,fbus,tbus,r_pu,x_pu,b_pu,rateA,status
0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.574041999999999910e-03,2.344465399999999880e-02,7.609337300000000581e-02,9.040000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,4.297130000000000242e-04,4.602092000000000335e-03,3.876460860000000008e-01,2.172000000000000000e+03,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,5.427989999999999508e-04,5.813200000000000138e-03,4.896608379999999872e-01,2.172000000000000000e+03,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,3.251439000000000065e-03,2.961445799999999975e-02,9.611846000000000279e-02,9.040000000000000000e+02,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,1.400000000000000000e+01,3.353142999999999836e-03,3.054078899999999874e-02,2.230312839999999963e-01,1.356000000000000000e+03,1.000000000000000000e+00
5.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+01,1.924591999999999926e-03,1.752939499999999970e-02,5.689445600000000297e-02,9.040000000000000000e+02,1.000000000000000000e+00
6.000000000000000000e+00,2.000000000000000000e+00,1.600000000000000000e+01,1.986687000000000002e-03,1.809495599999999885e-02,5.873007300000000069e-02,9.040000000000000000e+02,1.000000000000000000e+00
7.000000000000000000e+00,2.000000000000000000e+00,3.500000000000000000e+01,1.710666000000000010e-03,1.558093099999999925e-02,5.057040299999999988e-02,9.040000000000000000e+02,1.000000000000000000e+00
8.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,1.547359999999999903e-04,1.657168000000000096e-03,1.395875550000000020e-01,2.172000000000000000e+03,1.000000000000000000e+00
9.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,9.268870000000000451e-04,8.442190000000000458e-03,2.740047799999999895e-02,9.040000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+01,3.000000000000000000e+00,8.000000000000000000e+00,3.548913999999999801e-03,3.232389100000000043e-02,2.360528030000000055e-01,1.356000000000000000e+03,1.000000000000000000e+00
1.100000000000000000e+01,3.000000000000000000e+00,1.100000000000000000e+01,3.400256999999999846e-03,3.096990399999999949e-02,1.005177770000000026e-01,9.040000000000000000e+02,1.000000000000000000e+00
1.200000000000000000e+01,3.000000000000000000e+00,1.300000000000000000e+01,2.191825000000000110e-03,1.996337700000000090e-02,1.457872470000000087e-01,1.356000000000000000e+03,1.000000000000000000e+00
1.300000000000000000e+01,3.000000000000000000e+00,1.930000000000000000e+02,5.902970000000000439e-04,6.321891999999999963e-03,2.130037236999999806e+00,4.344000000000000000e+03,1.000000000000000000e+00
1.400000000000000000e+01,4.000000000000000000e+00,7.200000000000000000e+01,6.908119999999999582e-04,7.398374999999999570e-03,6.231843030000000505e-01,2.172000000000000000e+03,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+00,7.000000000000000000e+00,1.222283000000000007e-03,1.113268899999999943e-02,3.613292099999999840e-02,9.040000000000000000e+02,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+01,3.164497000000000056e-03,2.882258399999999832e-02,9.354830599999999774e-02,9.040000000000000000e+02,1.000000000000000000e+00
1.700000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+01,1.285687999999999892e-03,1.171018100000000006e-02,3.800726599999999789e-02,9.040000000000000000e+02,1.000000000000000000e+00
1.800000000000000000e+01,6.000000000000000000e+00,1.600000000000000000e+01,1.903713999999999927e-03,1.733923000000000061e-02,5.627724399999999710e-02,9.040000000000000000e+02,1.000000000000000000e+00
1.900000000000000000e+01,7.000000000000000000e+00,1.000000000000000000e+01,3.090920000000000039e-03,2.815242999999999912e-02,9.137321199999999533e-02,9.040000000000000000e+02,1.000000000000000000e+00
2.000000000000000000e+01,8.000000000000000000e+00,1.100000000000000000e+01,2.164389999999999977e-03,1.971349899999999891e-02,6.398331499999999894e-02,9.040000000000000000e+02,1.000000000000000000e+00
2.100000000000000000e+01,8.000000000000000000e+00,1.300000000000000000e+01,1.409171000000000078e-03,1.283488200000000058e-02,2.603603879999999982e-01,2.260000000000000000e+03,1.000000000000000000e+00
2.200000000000000000e+01,8.000000000000000000e+00,1.870000000000000000e+02,1.772750999999999928e-03,1.614640599999999857e-02,5.240574199999999822e-02,9.040000000000000000e+02,1.000000000000000000e+00
2.300000000000000000e+01,8.000000000000000000e+00,1.930000000000000000e+02,1.905365000000000010e-03,1.735426600000000014e-02,5.632604499999999820e-02,9.040000000000000000e+02,1.000000000000000000e+00
2.400000000000000000e+01,9.000000000000000000e+00,1.700000000000000000e+01,1.050785000000000044e-03,9.570660999999999405e-03,3.106311000000000141e-02,9.040000000000000000e+02,1.000000000000000000e+00
2.500000000000000000e+01,9.000000000000000000e+00,2.900000000000000000e+01,2.217352000000000125e-03,2.019588300000000128e-02,6.554896899999999860e-02,9.040000000000000000e+02,1.000000000000000000e+00
2.600000000000000000e+01,9.000000000000000000e+00,1.930000000000000000e+02,2.745828000000000071e-03,2.500930000000000167e-02,8.117168199999999501e-02,9.040000000000000000e+02,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+01,1.500000000000000000e+01,3.845430999999999849e-03,3.502459699999999759e-02,1.136779319999999954e-01,9.040000000000000000e+02,1.000000000000000000e+00
2.800000000000000000e+01,1.200000000000000000e+01,1.600000000000000000e+01,2.789893999999999794e-03,2.541065400000000127e-02,8.247434100000000656e-02,9.040000000000000000e+02,1.000000000000000000e+00
2.900000000000000000e+01,1.200000000000000000e+01,4.200000000000000000e+01,1.302444000000000041e-03,1.186280500000000057e-02,8.663091700000000173e-02,1.356000000000000000e+03,1.000000000000000000e+00
3.000000000000000000e+01,1.200000000000000000e+01,4.400000000000000000e+01,2.346023999999999939e-03,2.136784200000000147e-02,6.935274900000000520e-02,9.040000000000000000e+02,1.000000000000000000e+00
3.100000000000000000e+01,1.300000000000000000e+01,4.100000000000000000e+01,1.221519999999999919e-04,3.924626999999999977e-03,7.991861102999999744e+00,1.458000000000000000e+04,1.000000000000000000e+00
3.200000000000000000e+01,1.300000000000000000e+01,7.200000000000000000e+01,3.187670000000000087e-03,2.903364400000000081e-02,9.423333400000000193e-02,9.040000000000000000e+02,1.000000000000000000e+00
3.300000000000000000e+01,1.300000000000000000e+01,7.200000000000000000e+01,3.610000000000000334e-05,1.159120000000000029e-03,2.360357592999999810e+00,1.458000000000000000e+04,1.000000000000000000e+00
3.400000000000000000e+01,1.300000000000000000e+01,7.200000000000000000e+01,5.321530000000000531e-04,5.699187999999999997e-03,4.800573499999999938e-01,2.172000000000000000e+03,1.000000000000000000e+00
3.500000000000000000e+01,1.400000000000000000e+01,1.700000000000000000e+01,3.080611999999999934e-03,2.805854899999999860e-02,9.106850700000000687e-02,9.040000000000000000e+02,1.000000000000000000e+00
